imie,nazwisko,data_urodzenia,plec,pesel,placowka_nazwa,miasto,wojewodztwo,kod_badania,nazwa_badania,kategoria_badania,wynik,jednostka,norma_min,norma_max
Piotr,Szymański,1992-12-08,M,98061508569,Szpital_Wojewódzki,Olsztyn,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Maria,Woźniak,2000-02-18,F,88080905256,Szpital Wojewódzki,Olsztyn_,warminsko-mazurskie,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Adam,Zieliński,1980-12-02,M,87071206519,Szpital Wojewódzki,olsztyn,WARMINSKO MAZURSKIE,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Jakub,Wójcik,1981-12-30,M,84011602403,Szpital Wojewódzki, OLSZTYN,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Tomasz,Zieliński,1966-11-04,M,89101404607,SZPITAL WOJEWODZKI,Olsztyn,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Barbara,Kowalczyk,1975-08-09,F,80060804778,Szpital Wojewódzki,olsztyn,warminsko-mazurskie,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Marcin,Zieliński,1961-01-07,M,97022101963, Szpital Wojewodzki ,Olsztyn_,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Krzysztof,Wójcik,1997-07-31,M,98102006749,Szpital_Wojewódzki,olsztyn,WARMINSKO MAZURSKIE,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Piotr,Kowalczyk,1981-03-25,M,84101602287,Szpital Wojewódzki,Olsztyn_,Warminsko-Mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Barbara,Wiśniewski,1982-05-19,F,98020306574, Szpital Wojewodzki , OLSZTYN,warminsko-mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Anna,Wójcik,2003-05-14,F,82011402700,Szpital Wojewódzki,Olsztyn,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Ewa,Lewandowski,1993-03-21,F,88081904178,Szpital Wojewódzki,Olsztyn_,Warminsko-Mazurskie,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Adam,Lewandowski,1991-07-05,M,99032407171,szpital wojewódzki,olsztyn,WARMINSKO MAZURSKIE,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Paweł,Kowalczyk,1982-04-12,M,88052206177,Szpital_Wojewódzki,Olsztyn,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Ewa,Szymański,1979-10-11,F,82012707102,Szpital Wojewódzki,Olsztyn,Warminsko-Mazurskie,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Maria,Wójcik,2001-09-25,F,91090405368,szpital wojewódzki,Olsztyn,warminsko-mazurskie,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Elżbieta,Kowalczyk,1997-04-20,F,80051403150,szpital wojewódzki,Olsztyn,WARMINSKO MAZURSKIE,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Adam,Wiśniewski,1980-02-11,M,87030904717,Szpital_Wojewódzki,Olsztyn,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Anna,Kowalczyk,1995-11-26,F,87011008970,SZPITAL WOJEWODZKI,Olsztyn_,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Małgorzata,Woźniak,1986-06-17,F,81061108538,szpital wojewódzki, OLSZTYN,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Magdalena,Kowalski,1993-02-13,F,99010208924,Szpital_Wojewódzki,Olsztyn,warminsko-mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Joanna,Woźniak,1979-02-12,F,80021102214, Szpital Wojewodzki ,Olsztyn,warminsko-mazurskie,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Magdalena,Kowalczyk,1995-06-05,F,83101506830,SZPITAL WOJEWODZKI, OLSZTYN,Warminsko-Mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Jakub,Woźniak,1992-03-25,M,86122608005,Szpital Wojewódzki, OLSZTYN,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Małgorzata,Lewandowski,1995-06-29,F,86091709784,Szpital Wojewódzki,Olsztyn,WARMINSKO MAZURSKIE,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Marcin,Kowalski,2005-01-21,M,91051606323,SZPITAL WOJEWODZKI, OLSZTYN,WARMINSKO MAZURSKIE,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Tomasz,Szymański,1967-06-26,M,92120404577,Szpital Wojewódzki, OLSZTYN,warminsko-mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Magdalena,Kowalski,1961-09-28,F,98031002756,SZPITAL WOJEWODZKI,Olsztyn_,WARMINSKO MAZURSKIE,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Ewa,Wiśniewski,1984-08-02,F,84121804364,Szpital Wojewódzki, OLSZTYN,Warminsko-Mazurskie,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Paweł,Nowak,1981-03-12,M,86092405803,SZPITAL WOJEWODZKI,Olsztyn_,Warminsko-Mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Małgorzata,Zieliński,1989-06-23,F,97040101832,Szpital Wojewódzki, OLSZTYN,warminsko-mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Tomasz,Lewandowski,1974-10-27,M,83120507589,Szpital_Wojewódzki,Olsztyn_,Warminsko-Mazurskie,GLU,Glukoza,Biochemia,10.0,mg/dL,5.0,15.0
Anna,Kamiński,1967-04-06,F,94030809716, Szpital Wojewodzki ,Olsztyn,warminsko-mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Katarzyna,Woźniak,1999-01-12,F,81032805308,Szpital Wojewódzki, OLSZTYN,warminsko-mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Krzysztof,Kamiński,2000-07-19,M,97102004657,szpital wojewódzki, OLSZTYN,WARMINSKO MAZURSKIE,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Michał,Woźniak,1965-12-18,M,89091701893,SZPITAL WOJEWODZKI, OLSZTYN,WARMINSKO MAZURSKIE,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
Marcin,Lewandowski,1978-04-21,M,95010401085,SZPITAL WOJEWODZKI,Olsztyn_,warminsko-mazurskie,CHOL,Cholesterol,Lipidogram,10.0,mg/dL,5.0,15.0
Ewa,Zieliński,2002-05-04,F,89071707946,szpital wojewódzki, OLSZTYN,Warminsko-Mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Ewa,Zieliński,1991-06-06,F,96090904944,Szpital Wojewódzki, OLSZTYN,Warminsko-Mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Anna,Zieliński,1977-04-09,F,87060608624,szpital wojewódzki,olsztyn,Warminsko-Mazurskie,WBC,Leukocyty,Morfologia,10.0,10^9/L,5.0,15.0
Katarzyna,Zieliński,1974-03-16,F,84051305606, Szpital Wojewodzki ,Olsztyn,Warminsko-Mazurskie,HGB,Hemoglobina,Morfologia,10.0,g/dL,5.0,15.0
Anna,Zieliński,1974-06-06,F,83111205108,SZPITAL WOJEWODZKI,Olsztyn,Warminsko-Mazurskie,TSH,TSH,Hormony,10.0,uIU/mL,5.0,15.0
