imie,nazwisko,data_urodzenia,plec,pesel,placowka_nazwa,miasto,wojewodztwo,kod_badania,nazwa_badania,kategoria_badania,wynik,jednostka,norma_min,norma_max
Adam,Kowalczyk,1996-06-19,M,98051906363,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,4.4,uIU/mL,0.27,4.2
Jakub,Lewandowski,1960-02-13,M,81090105429,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,236.6,mg/dL,115.0,190.0
Barbara,Kowalczyk,2003-04-10,F,92101508238,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,14.53,g/dL,13.0,17.0
Tomasz,Wójcik,1982-11-23,M,99042508379,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,91.26,mg/dL,115.0,190.0
Jakub,Nowak,1998-11-29,M,97100904917,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,58.48,mg/dL,70.0,99.0
Maria,Woźniak,1992-02-12,F,93112805366,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,13.72,10^9/L,4.0,10.0
Anna,Nowak,1963-12-12,F,91022309162,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,5.97,uIU/mL,0.27,4.2
Piotr,Kowalczyk,1978-06-25,M,94062001283,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,71.96,mg/dL,70.0,99.0
Marcin,Wójcik,2001-07-24,M,96010609731,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,14.16,10^9/L,4.0,10.0
Michał,Kowalski,1986-12-03,M,96052404509,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,15.3,g/dL,13.0,17.0
Andrzej,Kowalczyk,1982-10-02,M,82091602939,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,64.66,mg/dL,115.0,190.0
Krzysztof,Kowalczyk,1996-02-13,M,81051504559,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,126.48,mg/dL,115.0,190.0
Magdalena,Kamińska,1994-10-11,F,84061409042,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,79.46,mg/dL,70.0,99.0
