imie,nazwisko,data_urodzenia,plec,pesel,placowka_nazwa,miasto,wojewodztwo,kod_badania,nazwa_badania,kategoria_badania,wynik,jednostka,norma_min,norma_max
Barbara,Kamiński,1982-11-26,F,90020203462,Laboratorium Testowe,Poznań,Wielkopolskie,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Michał,Wiśniewski,1984-01-10,M,98072702385,Laboratorium Testowe,Poznań,,CHOL,Cholesterol,Lipidogram,80.0,mg/dL,115.0,190.0
Barbara,Kowalski,1978-03-12,F,86072104368,,Poznań,Wielkopolskie,GLU,Glukoza,Biochemia,80.0,mg/dL,70.0,99.0
Ewa,Wiśniewski,2000-09-18,F,123,Laboratorium Testowe,Poznań,Wielkopolskie,WBC,Leukocyty,Morfologia,80.0,10^9/L,4.0,10.0
Magdalena,Szymański,1978-04-30,F,81080608008,Laboratorium Testowe,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Joanna,Wiśniewski,1981-02-20,F,83030708002,Laboratorium Testowe,Poznań,,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Elżbieta,Zieliński,1980-11-18,F,99042506888,,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Piotr,Wójcik,1972-12-10,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,WBC,Leukocyty,Morfologia,80.0,10^9/L,4.0,10.0
Magdalena,Szymański,1988-09-14,F,97020702654,Laboratorium Testowe,Poznań,Wielkopolskie,GLU,Glukoza,Biochemia,80.0,mg/dL,70.0,99.0
Małgorzata,Nowak,1962-07-31,F,80022509780,Laboratorium Testowe,Poznań,,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Andrzej,Woźniak,1982-02-13,M,85040106435,,Poznań,Wielkopolskie,CHOL,Cholesterol,Lipidogram,80.0,mg/dL,115.0,190.0
Jakub,Kowalski,1972-07-30,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,GLU,Glukoza,Biochemia,80.0,mg/dL,70.0,99.0
Magdalena,Woźniak,1996-01-06,F,96111305678,Laboratorium Testowe,Poznań,Wielkopolskie,GLU,Glukoza,Biochemia,80.0,mg/dL,70.0,99.0
Jan,Wiśniewski,1969-12-17,M,89082304749,Laboratorium Testowe,Poznań,,GLU,Glukoza,Biochemia,80.0,mg/dL,70.0,99.0
Andrzej,Kowalczyk,1978-09-03,M,92040905377,,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Tomasz,Wiśniewski,1998-11-05,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Joanna,Szymański,1976-02-16,F,94062201482,Laboratorium Testowe,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Andrzej,Zieliński,1981-10-01,M,97050708299,Laboratorium Testowe,Poznań,,CHOL,Cholesterol,Lipidogram,80.0,mg/dL,115.0,190.0
Katarzyna,Wójcik,1970-07-20,F,89040304634,,Poznań,Wielkopolskie,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Michał,Woźniak,2004-11-29,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Tomasz,Nowak,1990-08-27,M,95091601115,Laboratorium Testowe,Poznań,Wielkopolskie,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Magdalena,Zieliński,1997-09-06,F,86110907068,Laboratorium Testowe,Poznań,,TSH,TSH,Hormony,80.0,uIU/mL,0.27,4.2
Barbara,Kowalski,1992-07-16,F,83100805242,,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Adam,Wójcik,1981-06-29,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Ewa,Woźniak,1974-05-26,F,83071308384,Laboratorium Testowe,Poznań,Wielkopolskie,CHOL,Cholesterol,Lipidogram,80.0,mg/dL,115.0,190.0
Krzysztof,Wiśniewski,1965-12-28,M,85012308373,Laboratorium Testowe,Poznań,,WBC,Leukocyty,Morfologia,80.0,10^9/L,4.0,10.0
Marcin,Wiśniewski,1970-12-15,M,90070303455,,Poznań,Wielkopolskie,HGB,Hemoglobina,Morfologia,80.0,g/dL,13.0,17.0
Jakub,Szymański,1979-08-03,M,123,Laboratorium Testowe,Poznań,Wielkopolskie,CHOL,Cholesterol,Lipidogram,80.0,mg/dL,115.0,190.0
